rho_c,policy,n,mean,std,variance,sharpe
1.0,Adaptive,100000,4.0168979195864125,1.0410462232028386,1.0837772388448943,3.858520236717439
2.0,Adaptive,100000,3.155715251705535,0.847028325024586,0.7174569833939557,3.7256313141758706
3.0,Adaptive,100000,2.6480484783560505,0.7444509570899219,0.5542072275121008,3.5570489273159653
4.0,Adaptive,100000,1.9788343429976911,0.6959067361052175,0.48428618535661677,2.843533824765998
5.0,Adaptive,100000,1.8231451313155191,0.6577756342051296,0.4326687849539605,2.7716823739125687
1.0,Fixed,100000,3.6408930685707928,0.9456790891900324,0.8943089397312892,3.850030216581391
2.0,Fixed,100000,2.7637043276176976,0.7702385405099856,0.5932674092869528,3.5881148271129235
3.0,Fixed,100000,2.29861357332787,0.6939394066388391,0.48155190008626414,3.3124125122990513
4.0,Fixed,100000,1.974926487875022,0.6574118794826921,0.4321903792849657,3.004093095228311
5.0,Fixed,100000,1.7156545280175086,0.6394242309188177,0.40886334708612154,2.68312404356683
