q_values,delta_minus_fixed_-10,delta_plus_fixed_-10,delta_minus_fixed_-5,delta_plus_fixed_-5,delta_minus_fixed_0,delta_plus_fixed_0,delta_minus_fixed_5,delta_plus_fixed_5,delta_minus_fixed_10,delta_plus_fixed_10
-1.000000000000000000e+01,1.674881279468536377e-01,8.203201293945312500e-01,8.611381053924560547e-02,7.944334745407104492e-01,6.762427091598510742e-02,8.492580652236938477e-01,6.989884376525878906e-02,8.516358137130737305e-01,1.463750302791595459e-01,8.153198361396789551e-01
-9.000000000000000000e+00,1.831662952899932861e-01,8.081371188163757324e-01,9.404420852661132812e-02,7.727851271629333496e-01,7.054123282432556152e-02,8.152530789375305176e-01,7.977701723575592041e-02,8.225420713424682617e-01,1.570432186126708984e-01,7.872395515441894531e-01
-8.000000000000000000e+00,2.002072930335998535e-01,7.945582866668701172e-01,1.037249267101287842e-01,7.502843737602233887e-01,7.145971059799194336e-02,7.768704891204833984e-01,9.151436388492584229e-02,7.916328907012939453e-01,1.683148592710494995e-01,7.564583420753479004e-01
-7.000000000000000000e+00,2.191650569438934326e-01,7.782501578330993652e-01,1.166808307170867920e-01,7.265899181365966797e-01,7.094454765319824219e-02,7.330684661865234375e-01,1.057938933372497559e-01,7.572213411331176758e-01,1.799731999635696411e-01,7.220305204391479492e-01
-6.000000000000000000e+00,2.402465641498565674e-01,7.573733925819396973e-01,1.345657855272293091e-01,7.008525133132934570e-01,7.026372849941253662e-02,6.822637319564819336e-01,1.229858398437500000e-01,7.172192931175231934e-01,1.920419931411743164e-01,6.822986602783203125e-01
-5.000000000000000000e+00,2.631802856922149658e-01,7.291014194488525391e-01,1.584623605012893677e-01,6.708961725234985352e-01,7.201412320137023926e-02,6.224253773689270020e-01,1.433084607124328613e-01,6.694681644439697266e-01,2.051984965801239014e-01,6.351236104965209961e-01
-4.000000000000000000e+00,2.875413596630096436e-01,6.890379190444946289e-01,1.879922300577163696e-01,6.324573755264282227e-01,8.126848936080932617e-02,5.519336462020874023e-01,1.675399839878082275e-01,6.117941737174987793e-01,2.207657098770141602e-01,5.792698264122009277e-01
-3.000000000000000000e+00,3.130098283290863037e-01,6.322772502899169922e-01,2.211994826793670654e-01,5.790927410125732422e-01,1.082708537578582764e-01,4.722535312175750732e-01,1.979053318500518799e-01,5.426730513572692871e-01,2.403894960880279541e-01,5.169761776924133301e-01
-2.000000000000000000e+00,3.411527574062347412e-01,5.597475171089172363e-01,2.556098699569702148e-01,5.067534446716308594e-01,1.717958450317382812e-01,3.955549001693725586e-01,2.373925745487213135e-01,4.669968187808990479e-01,2.660067975521087646e-01,4.540905654430389404e-01
-1.000000000000000000e+00,3.762821257114410400e-01,4.851965010166168213e-01,2.937540113925933838e-01,4.237625896930694580e-01,2.524683177471160889e-01,3.453003466129302979e-01,2.860358953475952148e-01,3.989487588405609131e-01,2.999237179756164551e-01,3.955386579036712646e-01
0.000000000000000000e+00,4.231798946857452393e-01,4.231798946857452393e-01,3.481853604316711426e-01,3.481853604316711426e-01,3.086517155170440674e-01,3.086517155170440674e-01,3.404276072978973389e-01,3.404276072978973389e-01,3.434910774230957031e-01,3.434910774230957031e-01
1.000000000000000000e+00,4.851965010166168213e-01,3.762821257114410400e-01,4.237625896930694580e-01,2.937540113925933838e-01,3.453003466129302979e-01,2.524683177471160889e-01,3.989487588405609131e-01,2.860358953475952148e-01,3.955386579036712646e-01,2.999237179756164551e-01
2.000000000000000000e+00,5.597475171089172363e-01,3.411527574062347412e-01,5.067534446716308594e-01,2.556098699569702148e-01,3.955549001693725586e-01,1.717958450317382812e-01,4.669968187808990479e-01,2.373925745487213135e-01,4.540905654430389404e-01,2.660067975521087646e-01
3.000000000000000000e+00,6.322772502899169922e-01,3.130098283290863037e-01,5.790927410125732422e-01,2.211994826793670654e-01,4.722535312175750732e-01,1.082708537578582764e-01,5.426730513572692871e-01,1.979053318500518799e-01,5.169761776924133301e-01,2.403894960880279541e-01
